"codmun_resid","cod7","UF","Regiao","mun","Ano","obito_SRAG","obitos_COVID","Interna_COVID","Pop","FPM","RM","PIBpc","ICMSpc","Saudepc","FPMpc","Regra 1_e_2","Regra 2_e_3","Regra_3_e_4","Regra_4_e_5","Regra_5_e_6","Regra_6_e_7"
110143,1101435,"RO","Norte","Nova União",2020,1,1,0,6970,5339135.75,0,16836.43,866.373764705882,613.659602582496,766.016606886657,1,0,0,0,0,0
110145,1101450,"RO","Norte","Parecis",2020,3,2,2,6074,5339135.75,0,17665.6,1159.54973658215,963.186053671386,879.01477609483,1,0,0,0,0,0
110146,1101468,"RO","Norte","Pimenteiras do Oeste",2020,3,2,0,2169,5339135.75,0,53717.87,5760.28097279852,3321.03776394652,2461.56558321807,1,0,0,0,0,0
110147,1101476,"RO","Norte","Primavera de Rondônia",2020,3,2,0,2856,5339135.75,0,21657.67,1694.06794467787,1290.22766456583,1869.44529061625,1,0,0,0,0,0
110148,1101484,"RO","Norte","São Felipe D'Oeste",2020,3,0,0,5172,5339135.75,0,17257.15,1009.49100734725,1026.05705143078,1032.31549690642,1,0,0,0,0,0
110149,1101492,"RO","Norte","São Francisco do Guaporé",2020,12,5,46,20266,10678271.4,0,17435.08,989.097596466989,632.071845455443,526.905723872496,0,0,1,1,0,0
110150,1101500,"RO","Norte","Seringueiras",2020,2,0,0,11856,7118847.7,0,19927.58,867.985967442645,972.608739878543,600.44261977058,1,1,0,0,0,0
110155,1101559,"RO","Norte","Teixeirópolis",2020,3,1,0,4308,5339135.75,0,21435.57,1282.98500696379,922.803704735376,1239.35370241411,1,0,0,0,0,0
110160,1101609,"RO","Norte","Theobroma",2020,6,3,8,10444,7118847.7,0,18338.18,817.281488893144,878.804296246649,681.620806204519,1,1,0,0,0,0
110170,1101708,"RO","Norte","Urupá",2020,4,3,1,11467,7118847.7,0,18785.72,668.33122874335,841.631713612976,620.811694427488,1,1,0,0,0,0
110175,1101757,"RO","Norte","Vale do Anari",2020,1,1,0,11204,7118847.4,0,14887.93,649.063769189575,714.860070510532,635.384451981435,1,1,0,0,0,0
110180,1101807,"RO","Norte","Vale do Paraíso",2020,8,7,0,6825,5339135.75,0,21471.65,944.247956043956,1054.14155164835,782.290952380952,1,0,0,0,0,0
120001,1200013,"AC","Norte","Acrelândia",2020,6,5,10,15256,7876321.93,0,16593.61,288.780074069219,669.048874541164,516.277001179864,0,1,1,0,0,0
120005,1200054,"AC","Norte","Assis Brasil",2020,2,1,0,7417,4725793.37,0,12499.02,677.738484562492,862.07783200755,637.156986652285,1,0,0,0,0,0
120010,1200104,"AC","Norte","Brasiléia",2020,10,8,0,26278,11026850.67,0,17277.14,586.791261130984,552.976078849228,419.622903950072,0,0,0,1,1,0
120017,1200179,"AC","Norte","Capixaba",2020,5,4,0,11733,6301057.63,0,13023.62,378.378781215375,842.32036478309,537.037213841302,1,1,0,0,0,0
120025,1200252,"AC","Norte","Epitaciolândia",2020,4,2,0,18411,9451586.4,0,22954.62,272.42620661561,530.92368475368,513.366270164576,0,0,1,1,0,0
120030,1200302,"AC","Norte","Feijó",2020,3,3,0,34780,12602115.05,0,10422.36,291.61406612996,338.082889879241,362.337983036228,0,0,0,0,1,1
120033,1200336,"AC","Norte","Mâncio Lima",2020,1,1,0,18977,9451586.4,0,10813.83,353.591797439005,580.441326869368,498.054824260947,0,0,1,1,0,0
120034,1200344,"AC","Norte","Manoel Urbano",2020,3,3,0,9459,4725793.37,0,13916.58,523.084895866371,575.500670261127,499.608137223808,1,0,0,0,0,0
120035,1200351,"AC","Norte","Marechal Thaumaturgo",2020,2,2,0,18867,9451586.4,0,10305.28,1554.8102162506,2174.98095934701,500.958626172683,0,0,1,1,0,0
120038,1200385,"AC","Norte","Plácido de Castro",2020,10,8,0,19761,9451586.4,0,13973.45,586.518528920601,741.801315722889,478.294944587825,0,0,1,1,0,0
120042,1200427,"AC","Norte","Rodrigues Alves",2020,2,2,0,18930,9451586.4,0,10082.58,254.21564923402,469.335607501321,499.291410459588,0,0,1,1,0,0
120043,1200435,"AC","Norte","Santa Rosa do Purus",2020,2,2,0,6540,4725793.03,0,12190.32,883.665654434251,691.774814984709,722.598322629969,1,0,0,0,0,0
120045,1200450,"AC","Norte","Senador Guiomard",2020,10,9,0,23024,9451586.4,0,15664.33,529.890671473245,681.74058895066,410.510180681028,0,0,1,1,0,0
120060,1200609,"AC","Norte","Tarauacá",2020,0,0,0,42567,14177379.4,0,11337.98,283.427185378345,433.501090516128,333.060337820377,0,0,0,0,0,1
120070,1200708,"AC","Norte","Xapuri",2020,4,4,0,19323,9451586.4,0,14210.48,548.951951560317,525.614447032034,489.136593696631,0,0,1,1,0,0
120080,1200807,"AC","Norte","Porto Acre",2020,13,7,0,18504,9451586.4,0,12265.38,243.585017293558,477.16809284479,510.786121919585,0,0,1,1,0,0
130002,1300029,"AM","Norte","Alvarães",2020,30,28,65,16041,10190960.02,0,12228.31,588.517589925815,929.6054186148,635.30702699333,0,1,1,0,0,0
130006,1300060,"AM","Norte","Amaturá",2020,10,9,17,11536,8152768.1,0,8272.86,739.629146151179,897.583327843273,706.724003120666,1,1,0,0,0,0
130008,1300086,"AM","Norte","Anamã",2020,3,2,2,13614,10190960.02,0,9218.04,634.67481122374,801.064066402233,748.564714264727,0,1,1,0,0,0
